id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30278824,https://www.airbnb.com/rooms/30278824,20241206031559,2024-12-08,city scrape,Notre Dame 3-Apartment-Ensuite-City view,"you are in the real center of paris with many and restaurant around just near Pompidou museum , notre dame de paris,l hotel de ville,the french river la seine.the area is in fashion,and the building is one of the most beautiful building of the place.many tourist take photo of it. the metro is at 5 minutes, and one of the main shop ,like gallery lafayette, called ""bazaar de l hotel de ville"" is just near.",The apartment has a strategic location: it is located 5 minutes walk from the metro and the town hall,https://a0.muscache.com/pictures/b5a9fb66-7bd1-47b0-87b4-03bf5a3defd8.jpg,227104772,https://www.airbnb.com/users/show/227104772,Ronny,2018-11-23,"Paris, France",,,,97%,f,https://a0.muscache.com/im/pictures/user/01ba9e20-eba6-421d-9592-7aa5d0417dbd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/01ba9e20-eba6-421d-9592-7aa5d0417dbd.jpg?aki_policy=profile_x_medium,Le Marais,4.0,5.0,"['email', 'phone']",t,t,Neighborhood highlights,Hôtel-de-Ville,,48.85879,2.35214,Entire rental unit,Entire home/apt,8,1.0,1 bath,3.0,4.0,"[""Hangers"", ""Heating"", ""Elevator"", ""Bathtub"", ""Indoor pool - available all year"", ""Self check-in"", ""Dining table"", ""Clothing storage: wardrobe"", ""Air conditioning"", ""TV"", ""Microwave"", ""Essentials"", ""Paid parking off premises"", ""Bed linens"", ""Wifi"", ""Kitchen"", ""Lockbox"", ""City skyline view"", ""Iron"", ""Smoking allowed""]",$322.00,2,1125,2,2,365,365,2.0,365.0,,t,10,27,36,232,2024-12-08,115,4,0,2019-01-01,2024-03-31,4.49,4.63,4.61,4.7,4.45,4.96,4.43,7510401762704,t,4,4,0,0,1.59
792857350734745138,https://www.airbnb.com/rooms/792857350734745138,20241206031559,2024-12-08,city scrape,Appartement JO PARIS,"Ideally located in the 11th arrondissement in the center of Paris  (Lines 1-2-9-6 RER A), close to Père Lachaise, Place de la Bastille and Place de la Nation.<br />Located on a high floor within a secure residence, with 2 balconies and fully equipped (wifi, washing machine, coffee machine, kettle, oven, etc.) this apartment has been tastefully refurbished by an Indoor Architect.",,https://a0.muscache.com/pictures/miso/Hosting-792857350734745138/original/c7e4e860-a006-4e4b-9716-8c2f4ad3ff50.jpeg,88517486,https://www.airbnb.com/users/show/88517486,Alexandra,2016-08-07,"Paris, France",,,,100%,f,https://a0.muscache.com/im/pictures/user/User-88517486/original/d9f1b25d-e49e-4cf6-82e9-0db04a852b99.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-88517486/original/d9f1b25d-e49e-4cf6-82e9-0db04a852b99.jpeg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Popincourt,,48.85524558618671,2.3910792324806347,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Hot water kettle"", ""Hangers"", ""Central heating"", ""Coffee"", ""Elevator"", ""Bathtub"", ""Baking sheet"", ""Refrigerator"", ""Body soap"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Self check-in"", ""Shampoo"", ""Dishwasher"", ""Dining table"", ""Extra pillows and blankets"", ""TV"", ""Outdoor furniture"", ""Essentials"", ""Bed linens"", ""Wine glasses"", ""Paid street parking off premises"", ""Laundromat nearby"", ""Stainless steel single oven"", ""Wifi"", ""Coffee maker: Nespresso"", ""Hot water"", ""Kitchen"", ""Lockbox"", ""Cooking basics"", ""Washer"", ""Private patio or balcony"", ""Toaster"", ""Iron"", ""Dedicated workspace"", ""Room-darkening shades"", ""Freezer"", ""Shower gel"", ""Induction stove""]",$153.00,2,31,2,2,1125,1125,2.0,1125.0,,t,0,0,0,160,2024-12-08,8,8,0,2024-04-01,2024-08-22,4.75,5.0,4.75,4.75,5.0,4.75,4.75,7511108750469,t,1,1,0,0,0.95
1055690809005540468,https://www.airbnb.com/rooms/1055690809005540468,20241206031559,2024-12-08,city scrape,Studio 3 balcons 25m² - 6eme,"Top floor, 3 balconies overlooking Monuments, quiet and in the center of Paris: metro lines 4 / 10 / 12 1 minute at the foot of the building, Luxembourg garden a few minutes' walk, Saint-Germain Des Pres district",,https://a0.muscache.com/pictures/miso/Hosting-1055690809005540468/original/ccdfb39b-7a0b-453d-a0ee-5e21b1875c99.jpeg,50308679,https://www.airbnb.com/users/show/50308679,Clement,2015-12-01,,,,,0%,f,https://a0.muscache.com/im/pictures/user/9e7ef784-27c6-44f8-a023-88a7b16c7263.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9e7ef784-27c6-44f8-a023-88a7b16c7263.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Luxembourg,,48.85136319234251,2.327901210254013,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,0.0,"[""Washer"", ""Kitchen"", ""Air conditioning""]",$200.00,6,365,6,6,365,365,6.0,365.0,,t,29,59,89,364,2024-12-08,0,0,0,,,,,,,,,,7510710958914,f,1,1,0,0,
1151359760655687846,https://www.airbnb.com/rooms/1151359760655687846,20241206031559,2024-12-08,city scrape,Studio Cœur de Paris,"Studio in a 17th century building. <br />Clame overlooking the courtyards and rooftops of Paris.<br />In the historic center of Paris.<br />5 subways and RER lines 5 minutes from the studio.<br />3 Bus lines.<br /><br />Make life easier at this peaceful, centrally located home.",,https://a0.muscache.com/pictures/miso/Hosting-1151359760655687846/original/b519a9e5-e36e-4bfa-a64a-814f723e1e0f.jpeg,5892186,https://www.airbnb.com/users/show/5892186,Jacqueline,2013-04-12,"Paris, France","Hello,

My name is Jacqueline QUENEAU. I suggest you discovering my house, with which the decoration will surprise you. 
Fascinated by antiquities and by secondhand trade, it is enthusiastically that I got down to the restoration of this sleepy house for several years.
Its current decoration will dip back you within the XIXth century.
I am also an author of books. My next book ""French étiquette"" will deal with the art to receive French-style. See my site: jacqueline-queneau.com",,,100%,f,https://a0.muscache.com/im/users/5892186/profile_pic/1365773969/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5892186/profile_pic/1365773969/original.jpg?aki_policy=profile_x_medium,,4.0,4.0,"['email', 'phone']",t,f,,Bourse,,48.869838482273,2.345358735944247,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Paid parking on premises"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""TV""]",$180.00,1,365,1,1,365,365,1.0,365.0,,t,29,59,89,269,2024-12-08,0,0,0,,,,,,,,,,7510212707229,f,1,1,0,0,
379527,https://www.airbnb.com/rooms/379527,20241206031559,2024-12-08,city scrape,Au 6e ciel : ouvrez la porte de cet atelier d'art.,"Come and enjoy an unique experience in this very bright apartment / workshop in the very center of the city of Lumière.<br /><br />Have breakfast on the terrace while contemplating the Sacré Coeur with stunning views of the Parisian rooftops.<br /><br />In a very lively area close to Les Halles, the Marais and the Canal Saint Martin, enjoy an atypical interior mixing woods and tiles for an ideal countryside atmosphere.<br /><br />Do yourself good by disconnecting: apartment without wifi 🧘‍♂️🧘‍♀️",Very dynamic central area very well served.<br />Many nearby restaurants.<br />Nearby main roads of the RER and metro (North and East train station),https://a0.muscache.com/pictures/miso/Hosting-379527/original/2b861f9e-8c8a-4c3c-9dcd-9145bf1b0bde.jpeg,1905854,https://www.airbnb.com/users/show/1905854,Grégory,2012-03-12,"Paris, France","Je suis artiste - designer - directeur de création. Vivant en couple avec enfant mais sans animaux.

Je suis passionné d'art urbain et photographie d’archives. Je suis également professeur de typographie à mes heures perdues.
Je voyage un peu au gré des rencontres et des vagues à surfer. J’aime allez chez les gens, il me semble donc normal d'accueillir les autres chez moi quand j'en ai la possibilité.",within a day,100%,93%,f,https://a0.muscache.com/im/pictures/user/User-1905854/original/ddaef915-0aa3-4dbe-8a39-721d5281c2ba.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1905854/original/ddaef915-0aa3-4dbe-8a39-721d5281c2ba.jpeg?aki_policy=profile_x_medium,Bourse (II Arrondissement),1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Entrepôt,,48.8696,2.35307,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Pets allowed"", ""Heating"", ""Dryer"", ""Elevator"", ""Hot water"", ""Kitchen"", ""Smoking allowed"", ""Bathtub"", ""Essentials"", ""Host greets you"", ""City skyline view"", ""Washer""]",$250.00,3,120,3,3,120,120,3.0,120.0,,t,20,50,80,355,2024-12-08,7,4,0,2012-06-11,2024-09-30,4.83,4.71,5.0,4.71,5.0,4.43,4.71,7511007338256,f,1,1,0,0,0.05
1284778771644225779,https://www.airbnb.com/rooms/1284778771644225779,20241206031559,2024-12-08,city scrape,Studio cosy sur la festive rue du Fbg Saint-Denis,"Cozy studio on the festive rue du Fbg Saint-Denis, Parisian atmosphere guaranteed<br />Typical studio under the rooftops of Paris<br /><br />Discover this cozy top floor studio, nestled in the heart of a lively and arty district of the 10th arrondissement.<br />• Convenient layout: Lounge area, bedroom area, equipped kitchen.<br />• Comfort guaranteed: Private bathroom and toilet.<br />• Bright atmosphere: Amazing views of the rooftops of Paris.<br /><br />Ideal for a weekend or extended stay at an affordable rate.<br /><br />welcome",,https://a0.muscache.com/pictures/miso/Hosting-1284778771644225779/original/52402bc1-fe19-415f-90f9-a7f18be4ef65.jpeg,30962052,https://www.airbnb.com/users/show/30962052,Nicolas,2015-04-10,"Paris, France",,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/4e450db1-3e8d-4d6f-8a0c-0f958efd3599.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/4e450db1-3e8d-4d6f-8a0c-0f958efd3599.jpeg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Entrepôt,,48.8737122,2.3548767,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hangers"", ""Coffee"", ""Carbon monoxide alarm"", ""Blender"", ""Baking sheet"", ""Housekeeping available 4 hours a day, 5 days a week - available at extra cost"", ""Dishes and silverware"", ""Portable fans"", ""Shampoo"", ""Dishwasher"", ""Dining table"", ""Pets allowed"", ""Clothing storage: wardrobe"", ""Long term stays allowed"", ""Essentials"", ""Coffee maker: espresso machine"", ""Bed linens"", ""Wine glasses"", ""Radiant heating"", ""Laundromat nearby"", ""Mini fridge"", ""Cleaning products"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Toaster"", ""Single oven"", ""Shower gel""]",$79.00,2,365,2,4,365,365,2.1,365.0,,t,6,33,63,234,2024-12-08,0,0,0,,,,,,,,,,7511014789836,t,1,1,0,0,
7778016,https://www.airbnb.com/rooms/7778016,20241206031559,2024-12-09,previous scrape,Chambre BNF,Room in apartment 5th floor quiet bright and spacious. Two people also live in the place and they are always open to discussion!,"QUARTIER BNF/CHEVALERET: Paris 13, all shops nearby, <br />public transit access: <br />L14 or RER C Bentoheque Francois Mitterand <br />L6 Chevaleret<br />or tram T3 Avenue de France<br />Vélib station downstairs from the building.",https://a0.muscache.com/pictures/98946018/a665cfb7_original.jpg,7018199,https://www.airbnb.com/users/show/7018199,Helene,2013-06-20,"Chambéry, France","Je m'appelle Hélène, je travaille à Paris et j'aime voyager tout en rencontrant de nouvelles personnes et en découvrant de nouvelles cultures.",,,,f,https://a0.muscache.com/im/users/7018199/profile_pic/1439109509/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7018199/profile_pic/1439109509/original.jpg?aki_policy=profile_x_medium,Place d'Italie - Quartier Chinois,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Gobelins,,48.83317,2.37072,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Heating"", ""Wifi"", ""Elevator"", ""Hot water"", ""Kitchen"", ""TV"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Washer""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-12-09,1,0,0,2018-03-21,2018-03-21,5.0,5.0,3.0,5.0,5.0,5.0,5.0,7511301593793,f,1,0,1,0,0.01
750688704138335299,https://www.airbnb.com/rooms/750688704138335299,20241206031559,2024-12-08,city scrape,"Sous les toits de Paris, au calme","You will be in peace in this small cozy apartment, close to transport and shops, well equipped.<br /><br />Only 2 apartments on the landing.<br /><br /><br />Food shops and restaurants very close.<br />Underground, bus nearby",,https://a0.muscache.com/pictures/4a05a5c7-894a-4ee6-83fa-42d9f69fff54.jpg,264731657,https://www.airbnb.com/users/show/264731657,Mickael,2019-05-28,"Paris, France",Famille de trois enfants,within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/cc9f1ccc-575e-4ddb-be7c-10cfdca927a0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cc9f1ccc-575e-4ddb-be7c-10cfdca927a0.jpg?aki_policy=profile_x_medium,,4.0,4.0,"['email', 'phone']",t,t,,Passy,,48.84219,2.26712,Entire rental unit,Entire home/apt,2,0.5,Half-bath,1.0,1.0,"[""Coffee maker"", ""Central heating"", ""HDTV with premium cable"", ""Baking sheet"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Shampoo"", ""Extra pillows and blankets"", ""Microwave"", ""Long term stays allowed"", ""Essentials"", ""Bed linens"", ""Cleaning products"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""City skyline view"", ""Iron"", ""Dedicated workspace"", ""Shower gel"", ""Clothing storage""]",$55.00,30,365,30,30,365,365,30.0,365.0,,t,17,47,77,352,2024-12-08,2,2,0,2023-12-17,2024-11-01,5.0,5.0,5.0,5.0,5.0,4.0,3.5,"Available with a mobility lease only (""bail mobilité"")",f,4,4,0,0,0.17
949284399905493611,https://www.airbnb.com/rooms/949284399905493611,20241206031559,2024-12-09,city scrape,"Montmartre, je t’aime !","Appartement is in the heart of Montmartre. 45m2,<br />In the warm days of summer, house maintains nice temperature without conditioning. <br />In the middle of “moulin rouge”, <br />the basilica of sacred heart, <br />beautiful Montmartre cemetery, <br />cafe “ deux moulin” , where “Amèlie” was filmed,<br />Biggest fabric shop in paris and so on.",,https://a0.muscache.com/pictures/hosting/Hosting-949284399905493611/original/5a279534-7ab9-4218-989a-cb7064fa6b31.jpeg,434063095,https://www.airbnb.com/users/show/434063095,Tina,2021-11-30,"Paris, France",,within a few hours,80%,69%,f,https://a0.muscache.com/im/pictures/user/User-434063095/original/10e0c050-e437-46bc-a839-3de63f76b75e.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-434063095/original/10e0c050-e437-46bc-a839-3de63f76b75e.jpeg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,,Buttes-Montmartre,,48.88542289999999,2.3337661,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Self check-in"", ""Dishwasher"", ""Courtyard view"", ""Pets allowed"", ""Paid parking on premises"", ""Fast wifi \u2013 343 Mbps"", ""Dedicated workspace"", ""Hot water"", ""Adam Audio sound system with aux"", ""Kitchen"", ""Cooking basics"", ""Keypad"", ""Smoke alarm"", ""Hair dryer"", ""Refrigerator"", ""Wine glasses"", ""Induction stove""]",$115.00,2,125,3,3,125,125,3.0,125.0,,t,22,52,82,357,2024-12-09,6,3,0,2023-09-03,2024-10-10,4.83,4.67,5.0,5.0,5.0,5.0,4.67,7511809481637,f,1,1,0,0,0.39
1114497910038983887,https://www.airbnb.com/rooms/1114497910038983887,20241206031559,2024-12-07,city scrape,Appartement vue Tour Eiffel,Quiet and conveniently located apartment 15 min walk to Champ De Mars. 4 metro lines nearby. <br />Bright room with Eiffel Tower view. <br />Bathroom with bath. Separate toilet. full kitchen. <br /> <br />Large TV. Wifi. <br />Quiet neighborhood. Lots of local shops.,,https://a0.muscache.com/pictures/hosting/Hosting-1114497910038983887/original/8be7037b-d145-45f2-b39b-5454386f2289.jpeg,4989696,https://www.airbnb.com/users/show/4989696,Chloé,2013-02-06,"Paris, France",Je suis ostéopathe exclusive. Je vis dans mon immeuble depuis ma naissance. J'aime énormément mon quartier et ma ville.,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-4989696/original/82ac1443-a8bf-420f-b7b0-0440f3491edb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4989696/original/82ac1443-a8bf-420f-b7b0-0440f3491edb.jpeg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,,Vaugirard,,48.84312785891275,2.300539053976536,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Books and reading material"", ""Shampoo"", ""Cleaning products"", ""Heating"", ""Wifi"", ""Exercise equipment"", ""Hot water"", ""Kitchen"", ""TV"", ""Bathtub"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Bed linens"", ""Body soap"", ""Room-darkening shades"", ""Shower gel""]",$200.00,1,365,1,1,365,365,1.0,365.0,,t,23,53,83,263,2024-12-07,0,0,0,,,,,,,,,,7511512392215,f,1,1,0,0,
